Player,Pos,Team,Rank,Bye Week,Sort Pos,Comment,Comment 2
Patrick Mahomes,QB,KC,1,10,1,,
Josh Allen,QB,BUF,2,13,1,,
Jalen Hurts,QB,PHI,3,10,1,,
Lamar Jackson,QB,BAL,4,13,1,,
Joe Burrow,QB,CIN,5,7,1,Injury - looks like he's back,
Justin Herbert,QB,LAC,6,5,1,,
Justin Fields,QB,CHI,7,13,1,,
Trevor Lawrence,QB,JAC,8,9,1,,
Tua Tagovailoa,QB,MIA,9,10,1,,
Deshaun Watson,QB,CLE,10,5,1,,
Dak Prescott,QB,DAL,11,7,1,,
Anthony Richardson,QB,IND,12,11,1,,
Kirk Cousins,QB,MIN,13,13,1,,
Jared Goff,QB,DET,14,9,1,,
Geno Smith,QB,SEA,15,5,1,,
Brock Purdy,QB,SF,16,9,1,,
Aaron Rodgers,QB,NYJ,17,7,1,,
Daniel Jones,QB,NYG,18,13,1,,
Jordan Love,QB,GB,19,6,1,,
Russell Wilson,QB,DEN,20,9,1,,
Sam Howell,QB,WAS,21,14,1,,
Kyler Murray,QB,ARI,22,14,1,PUP List - out at least 4 games,
Mathew Stafford,QB,LAR,23,10,1,,i
Kenny Pickett,QB,PIT,24,6,1,,
Derek Carr,QB,NO,25,13,1,,
Bryce Young,QB,CAR,26,7,1,,
Desmond Ridder,QB,ATL,27,11,1,,
C J Stroud,QB,HOU,28,7,1,,
Ryan Tannehill,QB,TEN,29,7,1,,
Baker Mayfield,QB,TB,30,5,1,,
Jimmy Garoppolo,QB,LV,31,13,1,,
Mac Jones,QB,NE,32,11,1,,
Andy  Dalton,QB,CAR,,7,1,,
Bailey Zappe,QB,NE,,11,1,,
Carson Wentz,QB,FA,,,1,,
Colt McCoy,QB,ARI,,14,1,,
Davis Mills,QB,HOU,,7,1,,
Drew Lock,QB,SEA,,5,1,,
Gardner Minshew,QB,IND,,11,1,,
Henden Hooker,QB,DET,,9,1,,
Jacoby Brissitt,QB,CLE,,5,1,,
Jameis Winston,QB,NO,,11,1,,
Kyle Trask,QB,TB,,5,1,,
Marcus Mariota,QB,PHI,,10,1,,
Mike White,QB,MIA,,10,1,,
Sam Darnold,QB,SF,,9,1,,
Taylor Heinicke,QB,ATL,,11,1,,
Teddy Bridgewater,QB,MIA,,10,1,,
Trey Lance,QB,Dal,,7,1,,
Will Levis,QB,TN,,7,1,,
Zach Wilson,QB,NYJ,,7,1,,i
Christian McCaffrey,RB,SF,1,9,2,,
Bijan Robinson,RB,ATL,2,11,2,,
Austin Ekeler,RB,LAC,3,5,2,,
Saquon Barkley,RB,NYG,4,13,2,may be a little high,
Nick Chubb,RB,CLE,5,5,2,,
Tony Pollard,RB,DAL,6,7,2,,
Derrick Henry,RB,TEN,7,7,2,,
Joe Mixon,RB,CIN,8,7,2,?,
Josh Jacobs,RB,LV,9,13,2,,i
Travis Etienne,RB,JAC,10,9,2,,
J.K. Dobbins,RB,BAL,11,13,2,,i
Demien Pierce,RB,HOU,12,7,2,,
Aaron Jones,RB,GB,13,6,2,,
Alexander Mattison,RB,MIN,14,13,2,,
Rhamondre Stevenson,RB,NE,15,11,2,,
Najee Harris,RB,PIT,16,6,2,,
Jahamyr Gibbs,RB,DET,17,9,2,,
David Montgomery,RB,DET,18,9,2,,i
James Cook,RB,Buff,19,13,2,,
Brian Robinson,RB,WAS,20,14,2,,
Rachaad White,RB,TB,21,5,2,,
James Conner,RB,ARI,22,14,2,,
Kenneth Walker,RB,SEA,23,5,2,,i
Breece Hall,RB,NYJ,24,7,2,,
Dalvin Cook,RB,NYJ,25,7,2,Shoulder,
Alvin Kamara,RB,NO,26,11,2, susp 3 games,
Isaiah Pacheco,RB,KC,27,19,2,Shoulder,
Javonte Williams,RB,DEN,28,9,2,Knee  ACL,
Cam Akers,RB,LAR,29,10,2,,i
D'Andre Swift,RB,PHI,30,10,2,,
Khalil Herbert,RB,CHI,31,13,2,,i
Miles Sanders,RB,CAR,32,7,2,Groin,i
A J Dillon,RB,GB,33,6,2,,
Zach Charbonnet,RB,SEA,34,5,2,,
Rashaad Penny,RB,PHI,35,10,2,,
Samaje Perine,RB,DEN,35,9,2,,
Raheem Mostert,RB,MIA,36,10,2,,
Roschon Johnson,RB,CHI,37,13,2,,
Antonio Gibson,RB,WAS,38,14,2,,
Jamaal Williams,RB,NO,39,11,2,,
Ezekiel Elliott,RB,NE,40,11,2,,
Tank Bigsby,RB,JAC,41,9,2,,
Devon Achane,RB,MIA,42,10,2,,
Elijah Mitchell,RB,SF,43,9,2,Hip,i
Jaylen Warren,RB,Pit,44,6,2,,
Jonathon Taylor,RB,IND,45,11,2,Ankle  PUP,
Kenneth Gainwell,RB,PHI,46,10,2,,
Tyler Allgeier,RB,ATL,47,11,2,,
Damien Harris,RB,BUF,48,13,2,Knee,
Devin Singletary,RB,HOU,49,7,2,,
Zamir White,RB,LV,50,13,2,53,
Kendre Miller,RB,NO,51,11,2,,
Cory Clement,RB,ARI,52,14,2,,
Jerome Ford,RB,CLE,53,5,2,,
Chase Brown,RB,CIN,54,7,2,,
